uniq_id,product_name,product_url,pid,retail_price,discounted_price,brand
27866b0b1a937664729a1b207823f9f2,Pigeon Triply Kadhai 2 L,http://www.flipkart.com/pigeon-triply-kadhai-2-l/p/itme34yjdmug2yn2?pid=PTPE34YJXKXZVTWK,PTPE34YJXKXZVTWK,895.0,625.0,Pigeon
313f57abc5b782dc99854a8ee828d071,Voylla Leather Choker,http://www.flipkart.com/voylla-leather-choker/p/itmdzfjmyvu3vz6r?pid=NKCDZFJMRP2XBBTK,NKCDZFJMRP2XBBTK,400.0,381.0,Voylla
c3694756d4c7ff91f9377886b4931f1b,Allure Auto CM 1838 Car Mat Toyota Innova,http://www.flipkart.com/allure-auto-cm-1838-car-mat-toyota-innova/p/itmecn2qrvuz2ww8?pid=CRTECN2QUG8V4QCY,CRTECN2QUG8V4QCY,4900.0,1599.0,Allure Auto
bb4c2e1dad3945e9adc04074012bea85,Orientel Universal 360' Rotation Rubber Suction Cup Car Mount Stand Holder ABS Colorful For Tablet PC & Mobile Phone,http://www.flipkart.com/orientel-universal-360-rotation-rubber-suction-cup-car-mount-stand-holder-abs-colorful-tablet-pc-mobile-phone/p/itme74hcngradhjv?pid=ACCE74HCM54BZFAX,ACCE74HCM54BZFAX,499.0,149.0,Orientel
699803fc955c892fa3c22a147c1632d4,"VR Designers Metal, Fabric Necklace",http://www.flipkart.com/vr-designers-metal-fabric-necklace/p/itmdxhwzz4hjuzyk?pid=NKCDXHWZHPXRF28E,NKCDXHWZHPXRF28E,800.0,250.0,VR Designers
41c2e5322edbc9a402e8f0a470447172,Needhi Kadhai 3 L,http://www.flipkart.com/needhi-kadhai-3-l/p/itmeat32wqpmjs7j?pid=PTPEAT32YEZ7G4BB,PTPEAT32YEZ7G4BB,1340.0,710.0,Needhi
015d31ad501bf22af9526da45b2a30fe,BrandTrendz Wheel Pizza Cutter,http://www.flipkart.com/brandtrendz-wheel-pizza-cutter/p/itmeb9tyugrw6nfe?pid=PACEB9TYMS5FEHHY,PACEB9TYMS5FEHHY,999.0,319.0,BrandTrendz
6ba084f1fe573044fccadb547bb5a3be,Voylla Artificial Beaded Plain Yellow Gold Plated Alloy Necklace,http://www.flipkart.com/voylla-artificial-beaded-plain-yellow-gold-plated-alloy-necklace/p/itme8hyvzfvf79bt?pid=NKCE8HYVR7NYBGQH,NKCE8HYVR7NYBGQH,249.0,212.0,Voylla
4290e8ffb1cf8a23a5f203937bb7d92e,Veinice Mother of Pearl Alloy Necklace,http://www.flipkart.com/veinice-mother-pearl-alloy-necklace/p/itme5yyyhttdg7ze?pid=NKCE5YYYGNH7HGP3,NKCE5YYYGNH7HGP3,599.0,235.0,Veinice
b458e88a229a07f58101642f69e4efd2,"Indian Art Villa 2.1"" X 6.0"" X 2.0"" Handmade High Quality Stainless Steel Copper Dish Serving Indian Food Daal Curry Karahi Kadai Wok Bowl Kadhai 0.5 L",http://www.flipkart.com/indian-art-villa-2-1-x-6-0-2-0-handmade-high-quality-stainless-steel-copper-dish-serving-food-daal-curry-karahi-kadai-wok-bowl-kadhai-0-5-l/p/itmeatf8ek9kfhjc?pid=PTPEATF85YZDHTZS,PTPEATF85YZDHTZS,1450.0,585.0,Indian Art Villa
edefccfa5a632812784b2671cca11f09,Allure Auto CM 448 Car Mat Ford Endeavour,http://www.flipkart.com/allure-auto-cm-448-car-mat-ford-endeavour/p/itmecn2qnxt7hcxj?pid=CRTECN2QZAPZVBNY,CRTECN2QZAPZVBNY,2800.0,920.0,Allure Auto
